Rk,Name,Age,G,GS,MP,FG,FGA,FGPercent,ThreeP,ThreePA,ThreePPercent,TwoP,TwoPA,TwoPPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
8,Scottie Pippen\pippesc01,22,79,0,20.9,3.3,7.1,0.463,0.1,0.3,0.174,3.3,6.8,0.475,0.466,1.3,2.2,0.576,1.5,2.3,3.8,2.1,1.2,0.7,1.7,2.7,7.9,1987-1988
9,Rory Sparrow\sparrro01,29,55,25,18,2,5,0.409,0,0.2,0.167,2,4.8,0.42,0.412,0.4,0.6,0.727,0.3,1,1.3,2.9,0.7,0.1,0.9,1.3,4.5,1987-1988
10,Sedale Threatt\threase01,26,45,0,15.6,2.9,5.8,0.502,0,0.4,0.1,2.9,5.4,0.535,0.506,0.7,0.9,0.78,0.3,1,1.2,2.4,0.6,0.1,1,1.6,6.6,1987-1988
11,Artis Gilmore\gilmoar01,38,24,23,15.5,1.7,3.3,0.513,0,0,,1.7,3.3,0.513,0.513,0.8,1.5,0.514,0.6,2,2.6,0.4,0.2,0.5,1.2,2.3,4.2,1987-1988
12,Mike Brown\brownmi01,24,46,27,12.8,1.7,3.8,0.448,0,0,0,1.7,3.8,0.451,0.448,0.9,1.5,0.577,1.4,2,3.5,0.6,0.2,0.1,0.8,1.8,4.3,1987-1988
13,Elston Turner\turneel01,28,17,0,5.8,0.5,1.8,0.267,0,0,,0.5,1.8,0.267,0.267,0.1,0.1,0.5,0.5,0.1,0.6,0.5,0.5,0,0.6,0.3,1,1987-1988
14,Granville Waiters\waitegr01,27,22,0,5.2,0.4,1.3,0.31,0,0,0,0.4,1.3,0.321,0.31,0,0.1,0,0.4,0.9,1.3,0,0.1,0.7,0.3,1.2,0.8,1987-1988
15,Tony White\whiteto01,22,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,1987-1988
1,Michael Jordan,25,81,81,40.2,11.9,22.2,0.538,0.3,1.2,0.276,11.6,21,0.553,0.546,8.3,9.8,0.85,1.8,6.2,8,8,2.9,0.8,3.6,3,32.5,1988-1989
2,Horace Grant\grantho01,23,79,79,35.6,5.1,9.9,0.519,0,0.1,0,5.1,9.8,0.522,0.519,1.8,2.5,0.704,3,5.6,8.6,2.1,1.1,0.8,1.6,3.2,12,1988-1989
